frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
385,12.833333,-0.000760,0.000760,0.002431,42,41,0.009981
386,12.866667,-0.002426,0.002426,0.007763,42,41,0.009556
387,12.900000,-0.000952,0.000952,0.003047,41,40,0.010548
388,12.933333,-0.053303,0.053303,0.170568,41,40,0.119967
389,12.966667,-0.304510,0.304510,0.974432,39,38,0.166736
390,13.000000,-1.209795,1.209795,3.871345,35,35,2.342101
391,13.033333,-0.794258,0.794258,2.541625,45,45,1.117354
392,13.066667,-0.727239,0.727239,2.327163,17,17,3.686877
393,13.100000,-0.609094,0.609094,1.949101,12,12,0.586850
394,13.133333,-1.004276,1.004276,3.213683,31,31,1.406082
395,13.166667,-1.506910,1.506910,4.822113,18,18,1.832515
396,13.200000,-1.321956,1.321956,4.230258,27,25,0.572602
397,13.233333,-0.988798,0.988798,3.164153,13,13,3.527214
398,13.266667,-0.523412,0.523412,1.674918,24,24,4.716658
399,13.300000,-1.516028,1.516028,4.851291,11,11,3.256082
400,13.333333,-1.844183,1.844183,5.901384,45,45,0.781554
401,13.366667,-1.926275,1.926275,6.164080,19,19,1.086459
402,13.400000,0.194956,0.194956,0.623860,5,5,0.099963
403,13.433333,0.024879,0.024879,0.079614,45,45,0.284268
404,13.466667,-0.014077,0.014077,0.045046,15,15,0.312009
405,13.500000,-0.098391,0.098391,0.314852,9,9,0.345987
406,13.533333,0.250106,0.250106,0.800340,39,39,0.267076
407,13.566667,0.002164,0.002164,0.006924,23,23,0.183106
408,13.600000,-0.205908,0.205908,0.658906,46,45,0.225515
409,13.633333,-0.229280,0.229280,0.733695,34,33,0.413316
410,13.666667,-0.253946,0.253946,0.812628,18,18,0.278040
411,13.700000,-0.730210,0.730210,2.336672,39,39,0.460412
412,13.733333,-1.099081,1.099081,3.517058,29,29,0.447925
413,13.766667,0.006927,0.006927,0.022168,42,42,0.172501
414,13.800000,0.033458,0.033458,0.107066,29,29,0.122734
415,13.833333,0.044548,0.044548,0.142555,25,25,0.087276
416,13.866667,0.077878,0.077878,0.249209,45,45,0.135574
417,13.900000,0.369122,0.369122,1.181190,25,25,0.210989
418,13.933333,0.213496,0.213496,0.683186,21,21,0.170529
419,13.966667,0.146199,0.146199,0.467838,47,47,0.188479
420,14.000000,0.034848,0.034848,0.111513,35,35,0.078432
421,14.033333,-0.004529,0.004529,0.014492,44,44,0.137773
422,14.066667,-0.247877,0.247877,0.793206,27,27,0.138911
423,14.100000,-0.368222,0.368222,1.178311,21,21,0.202530
424,14.133333,-1.416176,1.416176,4.531765,43,42,1.543847
425,14.166667,-0.465168,0.465168,1.488538,26,26,0.559341
